[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/17 13:12:35 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   6.84ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   4.99ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    5.8ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   6.52ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.85ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.25ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.55ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |  10.29ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |  10.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.01ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    5.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.13ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    5.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   6.39ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.17ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.88ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   10.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.37ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |  10.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    5.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.96ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    5.9ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.43ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.74ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.57ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.91ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.25ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   4.09ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   4.82ms |       127.0.0.1 | POST     "/v1/credit"
