[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/19 00:36:26 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/19 - 00:37:17 | 200 |   8.07ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   9.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   9.51ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  11.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.62ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    8.6ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.87ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.23ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    5.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.74ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.85ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   10.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  12.36ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   9.12ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |  10.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.92ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.96ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.68ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    5.5ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.35ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.57ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.97ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.76ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   8.21ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   8.03ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.06ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.97ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.88ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.06ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    7.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.28ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.21ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.85ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.39ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.54ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.53ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.37ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.09ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   8.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.93ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.63ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    5.1ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.61ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.51ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.06ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.29ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    4.5ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   8.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |    7.5ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   5.48ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   6.58ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   4.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |    5.7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   5.08ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   4.71ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   7.36ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   8.54ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   9.17ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   7.16ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   9.93ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |  10.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   5.13ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |      6ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   5.79ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |    4.9ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   7.56ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |    9.1ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   9.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   9.38ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   6.12ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   6.81ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   5.22ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   6.75ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   7.03ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |    5.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   7.51ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:18 | 200 |   8.57ms |       127.0.0.1 | POST     "/v1/credit"
